pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
168.89,-51.75,-90.0,top,C1,,,CP_EIA-3216-18_Kemet-A_HandSolder,4.7uF,smt
68.82,-141.41,-90.0,top,C10,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,10nF,smt
177.66,-101.58,0.0,top,C11,,,CP_EIA-3216-18_Kemet-A_HandSolder,4.7uF,smt
151.2175,-90.685,90.0,top,C12,,,CP_EIA-3216-18_Kemet-A_HandSolder,4.7uF,smt
62.3275,-82.4,0.0,top,C13,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,10nF,smt
96.09,-140.73125,90.0,top,C14,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,330nF,smt
84.6,-132.08,-90.0,top,C15,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,100nF,smt
166.7175,-75.38,0.0,top,C16,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,100nF,smt
170.8975,-75.38,180.0,top,C17,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,330nF,smt
73.27,-119.87,0.0,top,C18,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,10nF,smt
184.817621,-103.73,0.0,top,C19,,,CP_Radial_D6.3mm_P2.50mm,47uF,tht
187.01238,-91.18,180.0,top,C2,,,CP_Radial_D6.3mm_P2.50mm,47uF,tht
154.69,-78.68,0.0,top,C20,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,100nF,smt
111.1,-79.05,0.0,top,C21,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,100nF,smt
157.9075,-90.065,-90.0,top,C22,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,100nF,smt
121.56,-90.28,-90.0,top,C23,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,100nF,smt
99.9125,-107.79,0.0,top,C24,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,100nF,smt
173.4325,-87.96,180.0,top,C25,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,100nF,smt
102.4925,-117.73,0.0,top,C26,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,100nF,smt
180.92,-95.2525,90.0,top,C27,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,100nF,smt
179.53,-55.59,0.0,top,C28,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,100nF,smt
173.54,-43.6,180.0,top,C29,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,100nF,smt
110.24,-59.705371,90.0,top,C3,,,CP_Radial_D25.0mm_P10.00mm_SnapIn,4700uF,tht
179.49,-53.49,0.0,top,C30,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,100nF,smt
180.9025,-62.63,0.0,top,C31,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,100nF,smt
69.3375,-61.38,180.0,top,C32,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,10nF,smt
73.99,-133.0025,180.0,top,C33,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,10nF,smt
77.83,-48.58,0.0,top,C34,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,10nF,smt
69.05,-48.46,180.0,top,C35,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,10nF,smt
73.44,-48.46,180.0,top,C36,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,10nF,smt
64.48,-48.46,180.0,top,C37,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,10nF,smt
74.4675,-146.6325,180.0,top,C38,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,10nF,smt
78.9575,-146.6525,0.0,top,C39,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,10nF,smt
136.33,-58.41,90.0,top,C4,,,CP_Radial_D22.0mm_P10.00mm_SnapIn,2200uF,tht
83.29,-146.6025,0.0,top,C40,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,10nF,smt
69.9925,-146.6325,180.0,top,C41,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,10nF,smt
155.05,-56.24,0.0,top,C42,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,100nF,smt
156.3925,-44.91,0.0,top,C43,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,100nF,smt
189.132323,-123.49,0.0,top,C44,,,CP_Radial_D10.0mm_P5.00mm,1000uF,tht
184.87,-122.01,90.0,top,C45,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,100nF,smt
175.26,-129.03,-90.0,top,C46,,,C_Axial_L12.0mm_D6.5mm_P15.00mm_Horizontal,100nF,tht
94.62,-92.1,0.0,top,C47,,,CP_EIA-6032-28_Kemet-C_HandSolder,4.7uF,smt
143.7,-108.77,-90.0,top,C48,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,100nF,smt
67.02,-99.54,180.0,top,C49,,,CP_EIA-6032-28_Kemet-C_HandSolder,4.7uF,smt
111.01,-146.29,90.0,top,C5,,,CP_Radial_D25.0mm_P10.00mm_SnapIn,4700uF,tht
96.73,-63.83,90.0,top,C50,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,100nF,smt
95.01,-75.43,180.0,top,C51,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,100nF,smt
147.24,-104.38,0.0,top,C52,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,100nF,smt
196.55,-131.14,-90.0,top,C53,,,C_Rect_L11.0mm_W4.3mm_P10.00mm_MKT,22nF,tht
135.72,-147.507832,90.0,top,C6,,,CP_Radial_D22.0mm_P10.00mm_SnapIn,2200uF,tht
89.99,-65.79,0.0,top,C7,,,CP_Elec_4x3.9,22uF,smt
84.2875,-57.63,180.0,top,C8,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,10nF,smt
63.41,-130.52,0.0,top,C9,,,CP_Elec_4x3.9,22uF,smt
108.84,-74.91,0.0,top,D1,,,D_SOD-123,1N4148WT,smt
64.44,-44.76,0.0,top,D11,,,Diode_Bridge_Vishay_GBU,GBU4A,tht
84.09,-150.5225,180.0,top,D12,,,Diode_Bridge_Vishay_GBU,GBU4A,tht
108.38,-96.43,180.0,top,D13,,,D_SOD-123,1N4148WT,smt
98.31,-96.35,180.0,top,D14,,,D_SOD-123,1N4148WT,smt
84.1,-62.57,0.0,top,D15,,,D_SOD-123,27V,smt
170.3,-105.69,0.0,top,D16,,,D_SOD-123,1N4148WT,smt
63.52,-134.65,0.0,top,D17,,,D_SOD-123,27V,smt
117.06,-109.93,180.0,top,D19,,,D_SOD-123,1N4148WT,smt
122.49,-107.94,0.0,top,D2,,,D_SOD-123,1N4148WT,smt
85.93,-124.89,180.0,top,D21,,,D_SOD-123,1N4148WT,smt
102.3475,-122.77,0.0,top,D22,,,D_SOD-123,1N4148WT,smt
161.3975,-78.995,0.0,top,D24,,,D_SOD-123,1N4148WT,smt
148.28,-74.87,-90.0,top,D25,,,D_SOD-123,1N4148WT,smt
196.64,-149.2,180.0,top,D27,,,Diode_Bridge_OnSemi_SDIP-4L,DF02S,smt
94.54,-83.49,180.0,top,D28,,,D_SOD-123,24V,smt
82.12,-69.41,0.0,top,D29,,,D_SMA,S1G,smt
186.8725,-109.26,0.0,top,D30,,,D_SMA,S1G,smt
83.86,-118.45,180.0,top,D32,,,D_SMA,S1G,smt
102.51,-81.49,90.0,top,D33,,,D_SOD-123,1N4148WT,smt
99.71,-77.78,0.0,top,D34,,,D_SOD-123,1N4148WT,smt
75.3575,-105.17,180.0,top,D35,,,D_SOD-123,24V,smt
105.4825,-77.72,0.0,top,D36,,,D_SOD-123,1N4148WT,smt
127.65,-107.97,0.0,top,D37,,,D_SOD-123,1N4148WT,smt
132.89,-107.93,0.0,top,D38,,,D_SOD-123,1N4148WT,smt
140.19,-96.13,0.0,top,D39,,,D_SOD-123,1N4148WT,smt
191.7575,-61.11,180.0,top,D4,,,D_SOD-123,1N4148WT,smt
191.77,-51.23,0.0,top,D5,,,D_SOD-123,1N4148WT,smt
187.6875,-84.79,180.0,top,D6,,,D_SMA,S1G,smt
166.765,-78.995,180.0,top,D7,,,D_SOD-123,1N4148WT,smt
115.63,-91.62,180.0,top,D9,,,D_SOD-123,1N4148WT,smt
126.9,-72.83,180.0,top,F1,,,Fuse_Bourns_MF-RG500,1A,tht
103.19,-127.9,180.0,top,F2,,,Fuse_Bourns_MF-RG500,1A,tht
124.51,-71.67,180.0,top,F3,,,L_0805_2012Metric_Pad1.15x1.40mm_HandSolder,1A,smt
100.66,-127.25,180.0,top,F4,,,L_0805_2012Metric_Pad1.15x1.40mm_HandSolder,1A,smt
181.6025,-131.1125,0.0,top,FL1,,,Choke_Schaffner_RN102-04-14.0x14.0mm,Schaffner_RN102-0.3-02-22M,tht
181.56,-120.69,0.0,top,J1,,,PinHeader_1x02_P2.54mm_Vertical,Vmeter pwr,tht
109.18,-115.12,0.0,top,J10,,,PinHeader_1x03_P2.54mm_Vertical,CurrentLimit-,tht
149.11,-122.5525,0.0,top,J101,,,TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm,Mains,tht
156.09,-101.77,0.0,top,J11,,,PinHeader_1x01_P2.54mm_Vertical,VoltsPot-,tht
134.18,-93.155,0.0,top,J12,,,PinHeader_1x02_P2.54mm_Vertical,on-off-,tht
150.835,-98.1,-90.0,top,J13,,,PinHeader_1x02_P2.54mm_Vertical,VoltsInd-,tht
123.86,-100.505,0.0,top,J14,,,PinHeader_1x02_P2.54mm_Vertical,VoltsInd+,tht
168.55,-57.68,-90.0,top,J15,,,PinHeader_1x02_P2.54mm_Vertical,on-off,tht
162.1,-47.65,0.0,top,J16,,,PinHeader_1x03_P2.54mm_Vertical,Dual Tracking,tht
74.46,-54.9425,180.0,top,J17,,,TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm,24VAC,tht
74.0,-139.23,0.0,top,J18,,,TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm,24VAC,tht
161.67,-122.4975,0.0,top,J19,,,TerminalBlock_MaiXu_MX126-5.0-03P_1x03_P5.00mm,PrimTransformer,tht
194.5425,-92.75,-90.0,top,J2,,,TerminalBlock_MaiXu_MX126-5.0-03P_1x03_P5.00mm,Output,tht
99.84,-86.54,90.0,top,J20,,,PinHeader_1x02_P2.54mm_Vertical,PosTrack,tht
136.55,-99.37,-90.0,top,J21,,,PinHeader_1x02_P2.54mm_Vertical,NegTrack,tht
64.275,-77.58,90.0,top,J22,,,TerminalBlock_MaiXu_MX126-5.0-03P_1x03_P5.00mm,TIP2955,tht
64.7275,-121.96,90.0,top,J23,,,TerminalBlock_MaiXu_MX126-5.0-03P_1x03_P5.00mm,2N3055,tht
172.4475,-79.125,90.0,top,J3,,,PinHeader_1x02_P2.54mm_Vertical,Red LED+,tht
128.6,-100.46,0.0,top,J4,,,PinHeader_1x02_P2.54mm_Vertical,on-off+,tht
134.39,-79.31,0.0,top,J5,,,PinHeader_1x02_P2.54mm_Vertical,0.6A/.3A+,tht
109.065,-109.93,90.0,top,J6,,,PinHeader_1x02_P2.54mm_Vertical,Red LED-,tht
121.99,-115.755,0.0,top,J7,,,PinHeader_1x02_P2.54mm_Vertical,0.6A/.3A-,tht
128.35,-82.16,0.0,top,J8,,,PinHeader_1x03_P2.54mm_Vertical,CurrentLimit+,tht
138.49,-87.8,180.0,top,J9,,,PinHeader_1x01_P2.54mm_Vertical,VoltsPot+,tht
90.6075,-121.61,0.0,top,Q10,,,SOT-23,MMBT3906,smt
139.6875,-72.55,0.0,top,Q11,,,SOT-23,MMBT3904,smt
74.405,-111.98,-90.0,top,Q12,,,TO-126-3_Vertical,BD138,tht
73.4275,-76.42,90.0,top,Q14,,,TO-126-3_Vertical,BD139,tht
82.2975,-84.65,0.0,top,Q15,,,TO-220-3_Vertical,TIC106,tht
84.76,-52.23,90.0,top,Q16,,,SOT-223-3_TabPin2,BCP56,smt
64.43,-105.11,0.0,top,Q17,,,TO-220-3_Vertical,TIC106,tht
144.0725,-73.58,0.0,top,Q3,,,SOT-23,MMBT3906,smt
94.7075,-122.58,0.0,top,Q4,,,SOT-23,MMBT3904,smt
109.03,-101.51,0.0,top,Q5,,,SOT-223-3_TabPin2,BCP56,smt
91.03,-100.34,180.0,top,Q6,,,SOT-223-3_TabPin2,BCP53,smt
62.99,-142.8925,-90.0,top,Q8,,,SOT-223-3_TabPin2,BCP53,smt
84.18,-109.73,0.0,top,R1,,,R_2512_6332Metric_Pad1.40x3.35mm_HandSolder,1R2,smt
185.68,-54.14,-90.0,top,R10,,,R_0805_2012Metric,3K92,smt
185.68,-58.61,-90.0,top,R11,,,R_0805_2012Metric,3K92,smt
143.14,-77.35,90.0,top,R12,,,R_0805_2012Metric,1K6,smt
93.92,-80.74,180.0,top,R13,,,R_0805_2012Metric,1K,smt
110.9625,-91.6,0.0,top,R14,,,R_0805_2012Metric,15K,smt
133.2,-103.02,-90.0,top,R15,,,R_0805_2012Metric,68K,smt
178.45,-99.2,180.0,top,R16,,,R_0805_2012Metric,1K,smt
174.8375,-99.18,180.0,top,R17,,,R_0805_2012Metric,470K,smt
163.9225,-107.55,-90.0,top,R18,,,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,39R,smt
72.14,-123.56,90.0,top,R19,,,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,130R,smt
82.3575,-78.47,0.0,top,R2,,,R_2512_6332Metric_Pad1.40x3.35mm_HandSolder,1R2,smt
84.88,-105.83,0.0,top,R20,,,R_1210_3225Metric_Pad1.30x2.65mm_HandSolder,8K2,smt
84.18,-113.94,0.0,top,R21,,,R_2512_6332Metric_Pad1.40x3.35mm_HandSolder,1R2,smt
138.0,-92.32,180.0,top,R22,,,R_0805_2012Metric,68K,smt
123.62,-67.14,0.0,top,R23,,,R_2512_6332Metric_Pad1.40x3.35mm_HandSolder,1R0,smt
124.54,-128.24,0.0,top,R24,,,R_2512_6332Metric_Pad1.40x3.35mm_HandSolder,1R0,smt
102.5725,-102.76,0.0,top,R25,,,R_0805_2012Metric,14K0,smt
102.42,-100.1,180.0,top,R26,,,R_0805_2012Metric,12K1,smt
98.2825,-102.63,180.0,top,R27,,,R_0805_2012Metric,12K1,smt
98.22,-100.1,0.0,top,R28,,,R_0805_2012Metric,14K0,smt
84.06,-59.99,180.0,top,R29,,,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,1K,smt
78.49,-66.24,0.0,top,R3,,,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,3K0,smt
99.82,-119.93,0.0,top,R30,,,R_0805_2012Metric,15K,smt
63.61,-137.18,180.0,top,R31,,,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,1K,smt
90.7275,-124.85,180.0,top,R32,,,R_0805_2012Metric,2K1,smt
97.7475,-124.4,180.0,top,R33,,,R_0805_2012Metric,1K6,smt
113.33,-120.32,0.0,top,R34,,,R_0805_2012Metric,330R,smt
113.3475,-115.03,0.0,top,R35,,,R_0805_2012Metric,510R,smt
93.64,-118.94,0.0,top,R36,,,R_0805_2012Metric,9K53,smt
74.09,-61.42,180.0,top,R37,,,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,47R,smt
78.86,-133.0025,180.0,top,R38,,,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,47R,smt
161.9375,-84.585,0.0,top,R39,,,R_0805_2012Metric,20K,smt
77.42,-123.54,90.0,top,R4,,,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,3K0,smt
138.82,-76.52,90.0,top,R40,,,R_0805_2012Metric,9K53,smt
145.87,-77.4475,90.0,top,R41,,,R_0805_2012Metric,2K1,smt
92.31,-89.03,180.0,top,R42,,,R_0805_2012Metric,1K,smt
73.3175,-84.72,0.0,top,R43,,,R_2512_6332Metric_Pad1.40x3.35mm_HandSolder,2R7,smt
155.6275,-89.895,90.0,top,R44,,,R_0805_2012Metric,470K,smt
153.5375,-89.945,90.0,top,R45,,,R_0805_2012Metric,1K,smt
62.8175,-63.19,180.0,top,R46,,,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,130R,smt
164.5475,-82.055,180.0,top,R47,,,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,39R,smt
82.3975,-74.08,0.0,top,R48,,,R_2512_6332Metric_Pad1.40x3.35mm_HandSolder,1R2,smt
74.9375,-80.42,0.0,top,R49,,,R_1210_3225Metric_Pad1.30x2.65mm_HandSolder,8K2,smt
165.87,-50.2,0.0,top,R5,,,R_0805_2012Metric,3K,smt
124.4725,-82.07,180.0,top,R50,,,R_0805_2012Metric,330R,smt
128.64,-77.39,0.0,top,R51,,,R_0805_2012Metric,510R,smt
98.97,-75.43,180.0,top,R52,,,R_0805_2012Metric,100K,smt
76.16,-96.87,0.0,top,R53,,,R_2512_6332Metric_Pad1.40x3.35mm_HandSolder,2R7,smt
66.8475,-107.83,0.0,top,R54,,,R_0805_2012Metric,470R,smt
80.06,-105.17,0.0,top,R55,,,R_0805_2012Metric,1K,smt
103.31,-71.39,180.0,top,R56,,,R_0805_2012Metric,1K,smt
112.64,-75.7925,-90.0,top,R57,,,R_0805_2012Metric,1K,smt
147.82,-86.72,0.0,top,R58,,,R_0805_2012Metric,47R,smt
134.39,-86.265,90.0,top,R59,,,R_0805_2012Metric,510R,smt
161.4925,-106.8325,-90.0,top,R6,,,R_0805_2012Metric,20K,smt
147.01,-101.87,0.0,top,R60,,,R_0805_2012Metric,1K,smt
118.0875,-107.5,180.0,top,R61,,,R_0805_2012Metric,1K,smt
141.5775,-108.56,90.0,top,R62,,,R_0805_2012Metric,100K,smt
157.08,-97.5525,-90.0,top,R63,,,R_0805_2012Metric,47R,smt
169.05,-69.24,90.0,top,R64,,,R_0805_2012Metric,220R,smt
117.86,-115.08,0.0,top,R65,,,R_0805_2012Metric,510R,smt
166.93,-69.23,-90.0,top,R66,,,R_0805_2012Metric,910R,smt
87.16,-131.9725,-90.0,top,R67,,,R_0805_2012Metric,910R,smt
87.21,-135.7225,-90.0,top,R68,,,R_0805_2012Metric,220R,smt
92.34,-86.68,0.0,top,R69,,,R_0805_2012Metric,47K,smt
172.25,-54.39,-90.0,top,R7,,,R_0805_2012Metric,4K32,smt
83.2225,-101.07,0.0,top,R70,,,R_0805_2012Metric,4K7,smt
175.41,-53.78,180.0,top,R8,,,R_0805_2012Metric,1K5,smt
171.27,-48.59,90.0,top,R9,,,R_0805_2012Metric,4K32,smt
190.87,-56.21,180.0,top,RV2,,,Potentiometer_Bourns_3296W_Vertical,2K5,tht
190.94,-46.94,180.0,top,RV3,,,Potentiometer_Bourns_3296W_Vertical,2K5,tht
148.35,-129.57,0.0,top,TR1,,,Transformer_Hahn_BV_202_0157,Hahn_BV_202_0157,tht
174.975,-60.195,90.0,top,U1,,,SOIC-8_3.9x4.9mm_P1.27mm,LM741,smt
163.8775,-90.685,90.0,top,U10,,,SOT-223-3_TabPin2,LT3092xST,smt
163.92,-100.39,90.0,top,U11,,,SOT-223-3_TabPin2,LT3092xST,smt
154.71,-49.89,90.0,top,U12,,,SOIC-8_3.9x4.9mm_P1.27mm,REF01CS,smt
97.395,-70.365,90.0,top,U13,,,SOIC-8_3.9x4.9mm_P1.27mm,LM741,smt
141.195,-101.855,90.0,top,U14,,,SOIC-8_3.9x4.9mm_P1.27mm,LM741,smt
92.91,-134.39,0.0,top,U15,,,SOT-223-3_TabPin2,LM337,smt
175.03,-70.6,0.0,top,U16,,,SOT-223-3_TabPin2,LM317,smt
175.2475,-48.64,90.0,top,U2,,,SOIC-8_3.9x4.9mm_P1.27mm,LM741,smt
175.14,-93.73,90.0,top,U5,,,SOIC-8_3.9x4.9mm_P1.27mm,LM741,smt
99.49,-112.83,90.0,top,U6,,,SOIC-8_3.9x4.9mm_P1.27mm,LM741,smt
154.295,-84.115,90.0,top,U7,,,SOIC-8_3.9x4.9mm_P1.27mm,LM741,smt
110.71,-84.12,90.0,top,U8,,,SOIC-8_3.9x4.9mm_P1.27mm,LM741,smt
